SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,9413 Clinton Dr,Houston,TX,77029,192000,4,1.5,Clinton Park,942,6480,1946,10,204,,Active,,,https://www.redfin.com/TX/Houston/9413-Clinton-Dr-77029/home/29969612,HARMLS,62980159,N,Y,29.735344,-95.2602171
MLS Listing,,Condo/Co-op,2333 Bering Dr #138,Houston,TX,77057,215000,2,2.5,Park Regency Condo,1152,77144,1983,62,187,465,Active,,,https://www.redfin.com/TX/Houston/2333-Bering-Dr-77057/unit-138/home/30541313,HARMLS,35771120,N,Y,29.7439819,-95.4778357
MLS Listing,,Single Family Residential,3714 Cosby St,Houston,TX,77021,219500,3,2.0,La Salette Place Sec 01,1350,7192,1940,1,163,,Active,,,https://www.redfin.com/TX/Houston/3714-Cosby-St-77021/home/30034700,HARMLS,16640161,N,Y,29.698137,-95.3634305
MLS Listing,,Condo/Co-op,2125 Augusta Dr #41,Houston,TX,77057,137000,1,1.0,Little Thicket Condo,708,130322,1978,1,194,311,Active,,,https://www.redfin.com/TX/Houston/2125-Augusta-Dr-77057/unit-41/home/30449133,HARMLS,62026223,N,Y,29.7438166,-95.4820325
MLS Listing,,Single Family Residential,8318 Lawler St,Houston,TX,77051,178000,3,1.0,Sunnyside Place,1242,5000,1952,1,143,,Active,,,https://www.redfin.com/TX/Houston/8318-Lawler-St-77051/home/29811617,HARMLS,3419424,N,Y,29.6711697,-95.373038
MLS Listing,,Condo/Co-op,2333 Bering Dr #133,Houston,TX,77057,185000,2,1.5,Park Regency Condo,1085,77144,1983,1,171,368,Active,,,https://www.redfin.com/TX/Houston/2333-Bering-Dr-77057/unit-133/home/30541306,HARMLS,47969035,N,Y,29.7439819,-95.4778357
MLS Listing,,Single Family Residential,3422 Hadley St St,Houston,TX,77004,160000,2,1.0,Prairie Home,642,4000,1935,1,249,,Active,,,https://www.redfin.com/TX/Houston/3422-Hadley-St-77004/home/29814119,HARMLS,34075798,N,Y,29.7351392,-95.3498767
MLS Listing,,Single Family Residential,3418 Hadley St,Houston,TX,77004,160000,2,1.0,Prairie Home,642,4000,1935,1,249,,Active,,,https://www.redfin.com/TX/Houston/3418-Hadley-St-77004/home/29814118,HARMLS,7630447,N,Y,29.7351921,-95.350032
MLS Listing,,Single Family Residential,637 Boyles St,Houston,TX,77020,170000,3,2.0,Houston Harbor Annex,1352,5000,1940,1,126,,Active,,,https://www.redfin.com/TX/Houston/637-Boyles-St-77020/home/29692158,HARMLS,28457165,N,Y,29.7770001,-95.2986292
MLS Listing,,Townhouse,2300 Old Spanish Trl #1094,Houston,TX,77054,159900,2,1.0,Riverwalk Condo Ph 03,838,5871,1983,1,191,385,Active,,,https://www.redfin.com/TX/Houston/2300-Old-Spanish-Trl-77054/unit-1094/home/30574224,HARMLS,51420118,N,Y,29.6980783,-95.3895314
MLS Listing,,Condo/Co-op,2832 S Bartell Dr #2,Houston,TX,77054,67500,1,1.0,Hearthwood Condo 2 Ph 4 & 5,700,71874,1983,1,96,350,Active,,,https://www.redfin.com/TX/Houston/2832-S-Bartell-Dr-77054/unit-2/home/30506540,HARMLS,50191509,N,Y,29.6813205,-95.4214063
MLS Listing,,Single Family Residential,3412 Chickering St,Houston,TX,77026,180000,3,2.0,Crane Street Woods Sec 03,1893,6544,1950,2,95,,Active,,,https://www.redfin.com/TX/Houston/3412-Chickering-St-77026/home/29974325,HARMLS,2030339,N,Y,29.7996375,-95.3348551
MLS Listing,,Single Family Residential,3910 Luca st St,Houston,TX,77021,209800,3,1.0,Scott Terrace Sec 03,846,6150,1952,2,248,,Active,,,https://www.redfin.com/TX/Houston/3910-Luca-St-77021/home/30018857,HARMLS,51586631,N,Y,29.6962197,-95.3598637
MLS Listing,,Single Family Residential,4230 Fallen Oaks Dr,Houston,TX,77091,219000,3,2.0,Pinemont Plaza,1494,6200,1972,2,147,,Active,,,https://www.redfin.com/TX/Houston/4230-Fallen-Oaks-Dr-77091/home/30261193,HARMLS,72362517,N,Y,29.8446571,-95.4506513
MLS Listing,,Condo/Co-op,2505 Bering Dr #15,Houston,TX,77057,209000,1,1.5,Bering Place Th Condo,1116,172320,1978,2,187,306,Active,,,https://www.redfin.com/TX/Houston/2505-Bering-Dr-77057/unit-15/home/30396485,HARMLS,36997469,N,Y,29.7404793,-95.4786183
MLS Listing,,Single Family Residential,3617 Noah St,Houston,TX,77021,199999,3,1.0,South End Sunnyside U/r,962,5000,1955,2,208,,Active,,,https://www.redfin.com/TX/Houston/3617-Noah-St-77021/home/30004252,HARMLS,93938792,N,Y,29.6855693,-95.3704997
MLS Listing,,Single Family Residential,4218 Lurlene St,Houston,TX,77017,219000,3,2.0,Meadowbrook Sec 02a,1620,5500,1951,2,135,,Active,,,https://www.redfin.com/TX/Houston/4218-Lurlene-St-77017/home/29867870,HARMLS,7735753,N,Y,29.6884062,-95.2606665
MLS Listing,,Single Family Residential,4513 Cavalcade St,Houston,TX,77026,199000,3,1.0,Kashmere Gardens,1595,17500,1940,2,125,,Active,,,https://www.redfin.com/TX/Houston/4513-Cavalcade-St-77026/home/29936961,HARMLS,47351042,N,Y,29.80057,-95.3243222
MLS Listing,,Single Family Residential,5008 Jewel St Unit 1/2,Houston,TX,77026,169000,2,1.0,Liberty/kashmere/houston/croyden Gardens,674,6400,1950,2,251,,Active,,,https://www.redfin.com/TX/Houston/5008-Jewel-St-77026/unit-1-2/home/29778909,HARMLS,33318519,N,Y,29.79014,-95.3201436
MLS Listing,,Single Family Residential,1820 Eubanks St,Houston,TX,77093,95000,3,1.0,Croyden Gardens,657,3150,1940,2,145,,Active,,,https://www.redfin.com/TX/Houston/1820-Eubanks-St-77093/home/29928406,HARMLS,35372318,N,Y,29.8322061,-95.351495
MLS Listing,,Single Family Residential,408 E 33rd St,Houston,TX,77018,225000,3,1.0,Independence Heights,1622,6250,1948,2,139,,Active,,,https://www.redfin.com/TX/Houston/408-E-33rd-St-77018/home/29703791,HARMLS,52238135,N,Y,29.8161591,-95.3942873
MLS Listing,,Single Family Residential,2630 Kenco St,Houston,TX,77093,180000,2,1.0,Kenco Gardens R/p,1721,3082,1960,3,105,,Active,,,https://www.redfin.com/TX/Houston/2630-Kenco-St-77093/home/30192138,HARMLS,76003744,N,Y,29.8394609,-95.3454259
MLS Listing,,Townhouse,3001 Murworth Dr #1604,Houston,TX,77025,188000,1,1.5,Southpoint Twnhms,1035,163170,2006,3,182,365,Active,,,https://www.redfin.com/TX/Houston/3001-Murworth-Dr-77025/unit-1604/home/29562788,HARMLS,27347547,N,Y,29.6852439,-95.4242772
MLS Listing,,Single Family Residential,7803 King St,Houston,TX,77028,165000,1,1.0,Liberty Road Manor,1165,4121,1950,3,142,,Active,,,https://www.redfin.com/TX/Houston/7803-King-St-77028/home/29735501,HARMLS,87133421,N,Y,29.8215848,-95.2859985
MLS Listing,,Condo/Co-op,4040 San Felipe St #276,Houston,TX,77027,200000,2,1.5,River Oaks TH Cond,1068,,1956,3,187,537,Active,,,https://www.redfin.com/TX/Houston/4040-San-Felipe-St-77027/unit-276/home/30360532,HARMLS,12612613,N,Y,29.7470893,-95.4471781
MLS Listing,,Single Family Residential,8022 Laura Koppe Rd,Houston,TX,77028,115000,2,1.0,Clairmont Place,756,7020,1957,3,152,,Active,,,https://www.redfin.com/TX/Houston/8022-Laura-Koppe-Rd-77028/home/30021295,HARMLS,45612177,N,Y,29.840387,-95.2812686
MLS Listing,,Single Family Residential,5030 Yellowstone Blvd,Houston,TX,77021,218000,3,1.0,Macgregor Terrace Sec 01,832,6560,1955,3,262,,Active,,,https://www.redfin.com/TX/Houston/5030-Yellowstone-Blvd-77021/home/30035862,HARMLS,42100624,N,Y,29.6882404,-95.3440207
MLS Listing,,Single Family Residential,8334 Carolwood Dr,Houston,TX,77028,150000,3,1.0,Larkstone Place,1744,14152,1950,3,86,,Active,,,https://www.redfin.com/TX/Houston/8334-Carolwood-Dr-77028/home/30023349,HARMLS,44314034,N,Y,29.835958,-95.2737291
MLS Listing,,Single Family Residential,5511 Beekman Rd,Houston,TX,77021,180000,2,1.0,Macgregor Place,1266,7200,1950,3,142,,Active,,,https://www.redfin.com/TX/Houston/5511-Beekman-Rd-77021/home/30023922,HARMLS,89429192,N,Y,29.6991717,-95.3299568
MLS Listing,,Single Family Residential,10320 Caxton St,Houston,TX,77016,120000,3,1.0,Henry Place,1148,7020,1960,4,105,,Active,,,https://www.redfin.com/TX/Houston/10320-Caxton-St-77016/home/30061890,HARMLS,79953935,N,Y,29.8612202,-95.3124431
MLS Listing,,Condo/Co-op,8211 Kingsbrook Rd #205,Houston,TX,77024,200000,2,1.5,Bayou Bend T/h Condo,1102,372523,1964,4,181,459,Active,,,https://www.redfin.com/TX/Houston/8211-Kingsbrook-Rd-77024/unit-205/home/30423085,HARMLS,28012940,N,Y,29.780386,-95.4852978
MLS Listing,,Single Family Residential,7943 Cabot St,Houston,TX,77078,159900,3,2.0,Park North Sec 02 R/p,1244,6720,1980,4,129,,Active,,,https://www.redfin.com/TX/Houston/7943-Cabot-St-77078/home/30269466,HARMLS,301697,N,Y,29.8542778,-95.2799822
MLS Listing,,Condo/Co-op,2300 Old Spanish Trl #1014,Houston,TX,77054,170000,2,2.0,Riverwalk Condo PH 1,1019,160014,1983,4,167,470,Active,,,https://www.redfin.com/TX/Houston/2300-Old-Spanish-Trl-77054/unit-1014/home/30573715,HARMLS,78677509,N,Y,29.6980783,-95.3895314
