Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/407-Asiatic-Black-Bear-Way-Crosby-TX-77532/338058479_zpid/,,House for sale,Single Family,13,345000,No,,,2550,sqft,135.29,6198.59,sqft,4,4,"eXp Realty, LLC",,407 Asiatic Black Bear Way,Crosby,77532,TX,USA
https://www.zillow.com/homedetails/18607-Dingo-Stream-Ln-Katy-TX-77449/305341325_zpid/,,House for sale,Single Family,2,289000,No,,,2188,sqft,132.08,3206.02,sqft,3,3,Realty World Elite Group,,18607 Dingo Stream Ln,Katy,77449,TX,USA
https://www.zillow.com/homedetails/21411-Lark-Creek-Ln-Katy-TX-77449/84028460_zpid/,,House for sale,Single Family,4,340000,No,,,3380,sqft,100.59,7339.86,sqft,4,3,"CB&A, Realtors-Katy",,21411 Lark Creek Ln,Katy,77449,TX,USA
https://www.zillow.com/homedetails/5917-T-St-Katy-TX-77493/27930541_zpid/,,House for sale,Single Family,1,313700,No,,,1685,sqft,186.17,8720.71,sqft,3,2,"Listing Results, LLC",,5917 T St,Katy,77493,TX,USA
https://www.zillow.com/homedetails/3310-Lantern-Bay-Ln-Katy-TX-77449/58676492_zpid/,,House for sale,Single Family,1,314900,No,,,2459,sqft,128.06,7305.01,sqft,4,3,"R3 Yes! Real Estate, LLC",,3310 Lantern Bay Ln,Katy,77449,TX,USA
https://www.zillow.com/homedetails/22631-Elkana-Deane-Ln-Katy-TX-77449/28267957_zpid/,,House for sale,Single Family,,250000,Yes,10000,06/03/2023,1272,sqft,196.54,6089.69,sqft,3,2,"eXp Realty, LLC",,22631 Elkana Deane Ln,Katy,77449,TX,USA
https://www.zillow.com/homedetails/22523-Auburn-Valley-Ln-Katy-TX-77449/161420223_zpid/,,House for sale,Single Family,5,315000,No,,,2527,sqft,124.65,5519.05,sqft,4,4,IndyQuest Properties,,22523 Auburn Valley Ln,Katy,77449,TX,USA
https://www.zillow.com/homedetails/6115-Pine-Lakes-Dr-Katy-TX-77493/80577872_zpid/,,House for sale,Single Family,2,289999,No,,,1562,sqft,185.66,8668.44,sqft,3,2,RE/MAX The Woodlands & Spring,,6115 Pine Lakes Dr,Katy,77493,TX,USA
https://www.zillow.com/homedetails/25038-Cinco-Manor-Ln-Katy-TX-77494/82713220_zpid/,,House for sale,Single Family,,400000,No,,,2623,sqft,152.5,7562.02,sqft,3,3,Ambrosi Realty INC.,,25038 Cinco Manor Ln,Katy,77494,TX,USA
https://www.zillow.com/homedetails/26802-Paloma-Blanca-Dr-Katy-TX-77493/2057174060_zpid/,,New construction,Unknown,,251990,No,,,1186,sqft,212.47,,,3,2,LennarVillageBldr-JaredTurner,,26802 Paloma Blanca Dr,Katy,77493,TX,USA
https://www.zillow.com/homedetails/6430-Macquarie-Dr-Katy-TX-77449/84008668_zpid/,,House for sale,Single Family,,330000,No,,,1822,sqft,181.12,5000.69,sqft,3,2,Sunet Group,,6430 Macquarie Dr,Katy,77449,TX,USA
https://www.zillow.com/homedetails/5618-Dahlia-Ln-Katy-TX-77493/28056536_zpid/,,House for sale,Single Family,,299990,No,,,1724,sqft,174.01,0.26,acres,4,2,Rockin 4C Properties,,5618 Dahlia Ln,Katy,77493,TX,USA
https://www.zillow.com/homedetails/20718-Laurel-Rain-Ct-Katy-TX-77449/161441228_zpid/,,House for sale,Single Family,1,310000,No,,,1845,sqft,168.02,5902.38,sqft,3,2,"Krisher-McKay, Inc., REALTORS",,20718 Laurel Rain Ct,Katy,77449,TX,USA
https://www.zillow.com/homedetails/28711-Bonham-Park-Ct-Katy-TX-77494/125568009_zpid/,,House for sale,Single Family,21,499990,No,,,2473,sqft,202.18,0.32,acres,4,3,REALM Real Estate Professional,,28711 Bonham Park Ct,Katy,77494,TX,USA
https://www.zillow.com/homedetails/22702-Ginosa-Trl-Katy-TX-77449/338057855_zpid/,,House for sale,Single Family,,390000,No,,,1606,sqft,242.84,6499.15,sqft,3,2,JLA Realty,,22702 Ginosa Trl,Katy,77449,TX,USA
https://www.zillow.com/homedetails/27142-Danbridge-Gulch-Ln-Katy-TX-77494/119900874_zpid/,,House for sale,Single Family,1,450000,No,,,2499,sqft,180.07,5732.5,sqft,4,3,Keller Williams Premier Realty Katy,,27142 Danbridge Gulch Ln,Katy,77494,TX,USA
https://www.zillow.com/homedetails/19923-Gatling-Ct-Katy-TX-77449/28376007_zpid/,,House for sale,Single Family,,299999,No,,,1887,sqft,158.98,6634.19,sqft,3,2,Westside Realty,,19923 Gatling Ct,Katy,77449,TX,USA
https://www.zillow.com/homedetails/22215-Grand-Terrane-Ln-Katy-TX-77449/123236228_zpid/,,House for sale,Single Family,,365000,Yes,10000,06/09/2023,2592,sqft,140.82,6438.17,sqft,4,3,Orchard Brokerage,,22215 Grand Terrane Ln,Katy,77449,TX,USA
https://www.zillow.com/homedetails/29208-Dove-Ln-Katy-TX-77493/53578038_zpid/,,House for sale,Single Family,4,675000,No,,,2670,sqft,252.81,1.5,acres,4,4,RE/MAX Grand,,29208 Dove Ln,Katy,77493,TX,USA
https://www.zillow.com/homedetails/3411-Antelope-Creek-Ln-Katy-TX-77494/112165534_zpid/,,House for sale,Single Family,1,768000,No,,,4854,sqft,158.22,9308.77,sqft,5,4,Forever Realty,,3411 Antelope Creek Ln,Katy,77494,TX,USA
https://www.zillow.com/homedetails/26818-Paloma-Blanca-Dr-Katy-TX-77493/2057174871_zpid/,,New construction,Unknown,,275000,No,,,1851,sqft,148.57,,,4,3,LennarVillageBldr-JaredTurner,,26818 Paloma Blanca Dr,Katy,77493,TX,USA
https://www.zillow.com/homedetails/29114-Davenport-Dr-Katy-TX-77494/124270824_zpid/,,House for sale,Single Family,,515000,No,,,2843,sqft,181.15,7318.08,sqft,4,3,REALM Real Estate Professional,,29114 Davenport Dr,Katy,77494,TX,USA
https://www.zillow.com/homedetails/25326-Sundown-Canyon-Ln-Katy-TX-77494/82725132_zpid/,,House for sale,Single Family,2,400000,No,,,2173,sqft,184.08,8986.43,sqft,4,2,Keller Williams Premier Realty Katy,,25326 Sundown Canyon Ln,Katy,77494,TX,USA
https://www.zillow.com/homedetails/28026-Hawkeye-Ridge-Ln-Katy-TX-77494/245544796_zpid/,,House for sale,Single Family,1,627000,No,,,3339,sqft,187.78,7801.6,sqft,4,4,World Wide Realty,,28026 Hawkeye Ridge Ln,Katy,77494,TX,USA
https://www.zillow.com/homedetails/24806-Puccini-Pl-Katy-TX-77493/305345385_zpid/,,House for sale,Single Family,5,439500,No,,,2930,sqft,150,4948.42,sqft,5,4,JPAR-The Sears Group,,24806 Puccini Pl,Katy,77493,TX,USA
https://www.zillow.com/homedetails/3346-Upland-Spring-Trce-Katy-TX-77493/161422516_zpid/,,House for sale,Single Family,1,335000,Yes,10000,11/22/2022,2173,sqft,154.16,5113.94,sqft,3,3,Keller Williams Premier Realty Katy,,3346 Upland Spring Trce,Katy,77493,TX,USA
https://www.zillow.com/homedetails/20266-Smithfield-Crossing-Ln-Katy-TX-77449/28363373_zpid/,,House for sale,Single Family,3,259000,No,,,1236,sqft,209.55,5776.06,sqft,3,2,JLA Realty,,20266 Smithfield Crossing Ln,Katy,77449,TX,USA
https://www.zillow.com/homedetails/1527-Twilight-Green-Dr-Katy-TX-77493/2057180890_zpid/,,New construction,Unknown,,300000,No,,,1538,sqft,195.06,,,3,2,LennarVillageBldr-JaredTurner,,1527 Twilight Green Dr,Katy,77493,TX,USA
https://www.zillow.com/homedetails/2511-Oakthorn-Ct-Katy-TX-77494/84749553_zpid/,,House for sale,Single Family,,365000,No,,,1882,sqft,193.94,6621.12,sqft,3,2,JLA Realty,,2511 Oakthorn Ct,Katy,77494,TX,USA
https://www.zillow.com/homedetails/20103-Baldwin-Oaks-St-Katy-TX-77449/68419865_zpid/,,House for sale,Single Family,11,345000,No,,,3079,sqft,112.05,0.28,acres,4,3,"The Monarch Team, LLC",,20103 Baldwin Oaks St,Katy,77449,TX,USA
https://www.zillow.com/homedetails/2467-Solaris-Bend-Dr-Katy-TX-77493/2057175793_zpid/,,New construction,Unknown,1,490014,No,,,2843,sqft,172.36,6355.4,sqft,4,4,"CastleRock Realty, LLC",,2467 Solaris Bend Dr,Katy,77493,TX,USA
https://www.zillow.com/homedetails/2807-Chestnut-Oak-Cir-Katy-TX-77494/2057157035_zpid/,,House for sale,Single Family,,390000,No,,,1778,sqft,219.35,7113.35,sqft,3,2,Walzel Properties,,2807 Chestnut Oak Cir,Katy,77494,TX,USA
https://www.zillow.com/homedetails/19310-Bristlestar-Dr-Katy-TX-77449/28457308_zpid/,,House for sale,Single Family,,235000,Yes,10000,06/08/2023,1811,sqft,129.76,6242.15,sqft,3,2,Precious Realty & Mortgage,,19310 Bristlestar Dr,Katy,77449,TX,USA
https://www.zillow.com/homedetails/24714-Puccini-Pl-Katy-TX-77493/305345381_zpid/,,House for sale,Single Family,1,405000,No,,,2659,sqft,152.31,4948.42,sqft,3,3,Creekview Realty,,24714 Puccini Pl,Katy,77493,TX,USA
https://www.zillow.com/homedetails/3007-W-Cedar-Sun-Trl-Katy-TX-77449/28545125_zpid/,,House for sale,Single Family,35,319999,No,,,2356,sqft,135.82,5776.06,sqft,4,3,Keller Williams HoustonCentral,,3007 W Cedar Sun Trl,Katy,77449,TX,USA
https://www.zillow.com/homedetails/3815-Moreland-Branch-Ln-Katy-TX-77493/161437858_zpid/,,House for sale,Single Family,6,465000,No,,,3648,sqft,127.47,7501.03,sqft,5,4,"eXp Realty, LLC",,3815 Moreland Branch Ln,Katy,77493,TX,USA
https://www.zillow.com/homedetails/1031-Longdraw-Dr-Katy-TX-77494/82733923_zpid/,,House for sale,Single Family,5,680000,No,,,3622,sqft,187.74,0.26,acres,5,4,BHGRE Gary Greene,,1031 Longdraw Dr,Katy,77494,TX,USA
https://www.zillow.com/homedetails/2015-Westfork-Dr-Katy-TX-77449/28363494_zpid/,,House for sale,Single Family,,289000,No,,,1600,sqft,180.63,6298.78,sqft,4,2,Redfin Corporation,,2015 Westfork Dr,Katy,77449,TX,USA
https://www.zillow.com/homedetails/1506-Avenue-A-Katy-TX-77493/27764174_zpid/,,House for sale,Single Family,1,999999,Yes,295001,11/09/2022,2071,sqft,482.86,1.36,acres,3,2,George E. Johnson Properties,,1506 Avenue A,Katy,77493,TX,USA
https://www.zillow.com/homedetails/19426-Thunder-Rock-Dr-Katy-TX-77449/28341200_zpid/,,House for sale,Single Family,3,253000,No,,,1562,sqft,161.97,6298.78,sqft,3,3,RE/MAX Signature Galleria,,19426 Thunder Rock Dr,Katy,77449,TX,USA
https://www.zillow.com/homedetails/6618-Autumn-Thistle-Dr-Katy-TX-77449/28462888_zpid/,,House for sale,Single Family,,284000,No,,,2496,sqft,113.78,4199.18,sqft,4,3,Texas United Realty,,6618 Autumn Thistle Dr,Katy,77449,TX,USA
https://www.zillow.com/homedetails/22914-Arcola-Manor-Ct-Katy-TX-77493/251267181_zpid/,,House for sale,Single Family,,420000,No,,,2370,sqft,177.22,0.3,acres,4,3,Coldwell Banker Realty,,22914 Arcola Manor Ct,Katy,77493,TX,USA
https://www.zillow.com/homedetails/1938-Pontius-Dr-Katy-TX-77493/118398692_zpid/,,House for sale,Single Family,,325000,No,,,2011,sqft,161.61,5501.63,sqft,4,2,Keller Williams Signature,,1938 Pontius Dr,Katy,77493,TX,USA
https://www.zillow.com/homedetails/27026-River-Birch-Dr-Katy-TX-77493/2057176250_zpid/,,New construction,Unknown,,325000,No,,,2135,sqft,152.22,,,4,3,LennarVillageBldr-JaredTurner,,27026 River Birch Dr,Katy,77493,TX,USA
https://www.zillow.com/homedetails/24902-Grand-Sapphire-Ln-Katy-TX-77493/244411597_zpid/,,House for sale,Single Family,,370000,No,,,2546,sqft,145.33,5484.2,sqft,4,3,Mark Dimas Properties,,24902 Grand Sapphire Ln,Katy,77493,TX,USA
https://www.zillow.com/homedetails/3807-Daintree-Park-Dr-Katy-TX-77494/125711719_zpid/,,House for sale,Single Family,5,465000,No,,,2549,sqft,182.42,6250.86,sqft,4,3,"Compass RE Texas, LLCKaty",,3807 Daintree Park Dr,Katy,77494,TX,USA
https://www.zillow.com/homedetails/2918-Martin-Pl-Katy-TX-77493/336809458_zpid/,,House for sale,Single Family,,650000,Yes,15000,06/09/2023,2610,sqft,249.04,0.27,acres,4,4,BHGRE Gary Greene,,2918 Martin Pl,Katy,77493,TX,USA
https://www.zillow.com/homedetails/3119-Tall-Sycamore-Trl-Katy-TX-77493/161423255_zpid/,,House for sale,Single Family,,409990,Yes,10000,06/11/2023,3761,sqft,109.01,5980.79,sqft,6,4,NICOLE FREER GROUP,,3119 Tall Sycamore Trl,Katy,77493,TX,USA
https://www.zillow.com/homedetails/28303-Hannahs-Harbor-Ln-Katy-TX-77494/2057190056_zpid/,,House for sale,Single Family,4,630000,No,,,3404,sqft,185.08,9343.62,sqft,4,4,"eXp Realty, LLC",,28303 Hannahs Harbor Ln,Katy,77494,TX,USA
https://www.zillow.com/homedetails/5607-Chipstone-Trail-Ln-Katy-TX-77493/243981669_zpid/,,House for sale,Single Family,,500000,No,,,3037,sqft,164.64,8751.2,sqft,4,4,"Compass RE Texas, LLC",,5607 Chipstone Trail Ln,Katy,77493,TX,USA
https://www.zillow.com/homedetails/19739-Hon-Ct-Katy-TX-77449/68423882_zpid/,,House for sale,Single Family,5,325000,No,,,2616,sqft,124.24,5793.48,sqft,4,4,G & G Realty Texas LLC,,19739 Hon Ct,Katy,77449,TX,USA
https://www.zillow.com/homedetails/23818-Asino-Dr-Katy-TX-77493/230316702_zpid/,,House for sale,Single Family,9,365000,No,,,2124,sqft,171.85,6956.53,sqft,4,2,"eXp Realty, LLC",,23818 Asino Dr,Katy,77493,TX,USA
https://www.zillow.com/homedetails/2534-Riley-Creek-Ct-Katy-TX-77493/2057213819_zpid/,,New construction,Unknown,1,539518,No,,,2681,sqft,201.24,6650,sqft,4,4,Weekley Homes,,2534 Riley Creek Ct,Katy,77493,TX,USA
https://www.zillow.com/homedetails/23314-Markstone-Glen-Ct-Katy-TX-77493/338052243_zpid/,,House for sale,Single Family,,499990,No,,,2615,sqft,191.2,10497.96,sqft,4,4,RE/MAX Fine Properties,,23314 Markstone Glen Ct,Katy,77493,TX,USA
