Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/502-Parkview-Ct-Sugar-Land-TX-77498/27611847_zpid/,,House for sale,Single Family,,548000,No,,,2732,sqft,200.59,0.52,acres,4,4,"Weichert,REALTORS-Murray Group",,502 Parkview Ct,Sugar Land,77498,TX,USA
https://www.zillow.com/homedetails/1809-Wichita-St-Houston-TX-77004/124871693_zpid/,,House for sale,Single Family,,549000,No,,,2411,sqft,227.71,3123.25,sqft,3,3,AREA Texas Realty,,1809 Wichita St,Houston,77004,TX,USA
https://www.zillow.com/homedetails/4327-Silverwood-Dr-Houston-TX-77035/28026851_zpid/,,House for sale,Single Family,,540000,No,,,2481,sqft,217.65,10881.29,sqft,3,3,RE/MAX Signature Galleria,,4327 Silverwood Dr,Houston,77035,TX,USA
https://www.zillow.com/homedetails/3706-Sherman-St-Houston-TX-77003/2059956464_zpid/,,New construction,Unknown,,519000,No,,,2017,sqft,257.31,2266,sqft,3,4,REALM Real Estate Professional,,3706 Sherman St,Houston,77003,TX,USA
https://www.zillow.com/homedetails/3906-Gallaher-Ct-Missouri-City-TX-77459/27617335_zpid/,,House for sale,Single Family,,549900,No,,,3504,sqft,156.93,0.29,acres,3,3,"Compass RE Texas, LLC",,3906 Gallaher Ct,Missouri City,77459,TX,USA
https://www.zillow.com/homedetails/8722-Winston-Ranch-Pkwy-Richmond-TX-77406/305287781_zpid/,,House for sale,Single Family,,535000,No,,,3384,sqft,158.1,8158.79,sqft,3,4,Walzel Properties,,8722 Winston Ranch Pkwy,Richmond,77406,TX,USA
https://www.zillow.com/homedetails/11822-Jelicoe-Dr-Houston-TX-77047/97621424_zpid/,,House for sale,Single Family,,250000,No,,,1580,sqft,158.23,2626.67,sqft,4,3,"Opendoor Brokerage, LLC",,11822 Jelicoe Dr,Houston,77047,TX,USA
https://www.zillow.com/homedetails/3300-Yorktown-St-APT-13-Houston-TX-77056/28276309_zpid/,,Condo for sale,Condominium,,140000,Yes,10000,06/12/2023,1664,sqft,84.13,1.13,acres,2,3,NextHome Real Estate Place,,3300 Yorktown St APT 13,Houston,77056,TX,USA
https://www.zillow.com/homedetails/4401-Davenport-St-Houston-TX-77051/27946233_zpid/,,House for sale,Single Family,25,150000,No,,,2079,sqft,72.15,6969.6,sqft,4,3,Keller Williams Elite,,4401 Davenport St,Houston,77051,TX,USA
https://www.zillow.com/homedetails/4406-Los-Alamos-Ct-Richmond-TX-77406/59756559_zpid/,,House for sale,Single Family,,725000,No,,,4038,sqft,179.54,0.49,acres,4,4,Orchard Brokerage,,4406 Los Alamos Ct,Richmond,77406,TX,USA
